,Comment,Date,Star Ratings
10,"Open till 7 this summer. Crafting in Public every Wednesday at 2. Good food, good coffee and tea, good people. A gem.","
        5/12/2017
    ",5.0 star rating
11,"Really wonderful place! The staff is terrific and so is the food.  I had the breakfast sandwich on home made waffles and a latte. Delicious. It is a corner coffeeshop which is modern, clean, comfortable, with a lot of light. It has tables and chairs seating, outdoor sidewalk patio, free wifi. Chicago nostalgia theme with blues music playing in the background. Very nice. It closes at 3pm although later hours will start soon.  So will the live music. My laptop and I were there on a Saturday in the early afternoon.  There were a few patrons and light traffic coming through. I found it on brewpass. The location is not convenient for me. If it were I would come back often.","
        11/12/2016
    ",5.0 star rating
12,"Looking for an awesome cafe with great drinks and decent food? Well look no further Hyde Park residents! I will admit that the cafe isn't in the safest area of town, but I'm proud that this beautiful cafe was built in this southside neighborhood! They've employed many of the residents from the neighborhood and the customer service is stellar! Pros: easy, free parking, sense of community, free wifi, decent hours, good drinks, customer service Cons: Food is okay, sketchy area of town","
        3/28/2016
    ",4.0 star rating
13,"This is a nice cozy cafe, I enjoy the abeyance. It has great coffee lattes, delicious. Smoothies, oatmeal, pastries salads and breakfast and lunch sandwiches. It has Wi-Fi for you a place to read and chat. Me and my daughter frequent this place.","
        4/6/2017
    ",4.0 star rating
14,"This is a great coffee shop.  They have good drinks, good food, great staff, a clean and comfortable space, free wi-fi, and a small meeting room with dry erase wall.  What more could you want?I had a great hot chocolate, delicious sandwich, and delicious waffle. I would happily get all three again.  The sandwich is $6.25 and comes with salt & vinegar chips.  It is a good deal.  The waffle is great, and apparently the batter comes from Belgium.  The large hot chocolate is huge and comes with a good amount of whipped cream on top.The staff is so friendly and helpful.  They genuinely seem happy to be there, and happy to have their customers.  I like that the sandwiches come on real plates, and that they have real silverware to go with it.  There was a group selling spa products in the meeting space, and it really highlighted what a great space it was.  They were able to put notes about the company and prices on the dry erase wall.  They had plenty of space to set up, but they were separated enough from the main seating that it was not intrusive.  It's really nice to have a space like this!I will definitely be back!","
        12/8/2014
    ",5.0 star rating
15,"A picture is a worth a thousand words and I posted about six of them. Great place to study, great place to get a quality coffee drink without paying ""Sixbucks"", long hours, free parking, sandwiches, smoothies and waffles to keep the brain cells working and free wifi. What more you could ask for? Oh wait. There's more!The sugar waffles are to die for. The batter is imported from Belgium and if you've ever tried to recreate true Belgium street waffles you know they are NOTHING like the spongy mess you get at American pancake houses. And they include nearly impossible to find in the US ingredients like pearl sugar. Why are you still reading this? Come enjoy this gem of a neighborhood owned cafe!","
        8/22/2014
    ",5.0 star rating
16,"The atmosphere at Greenline Coffee is wonderful. On nice days it opens up to the street, and there's a lot of wood and brick, giving it a super comforting feel. More importantly, the fare is fantastic! I had a lemon bar and a fresh-brewed iced tea, both of which were delicious, and I stole a bite of their signature waffles from a friend. They were AMAZING. The waffles are super doughy and fresh-off-the-iron warm, and I've never had anything so melt-in-your-mouth before. Over all, highly recommend the place.A total plus: I had a chat with the owners, and they make a point of hiring local kids from the Woodlawn area, as well as supporting local entrepreneurship. Love it. A++","
        8/11/2014
    ",5.0 star rating
17,I was getting a little unnerved at first on my walk from the University but then I calmed down once inside. Really nice relaxed and calm experience.  The demographics are skewed but I like it that way. Your quintessential Midwest coffee house experience.,"
        2/29/2016
    ",4.0 star rating
18,"Atmosphere - 5 Stars: The atmosphere in the cafe is great. A lot of creative people and entrepreneurs. Felt like I was at home. Food - 5 Stars: I had the chicken and steak tacos and they were delicious. The ingredients used were  extremely fresh and everything tasted homemade.Staff - 5 Stars: The staff were really nice and pleasant. Service - 3 Stars: The service was SLOW, beyond slow. My friend and I didn't mind since we were having a great time with our conversation, but a ""quick bite"" turned into our entire afternoon. It was almost two hours all together. But I guess if everything is homemade and it tastes that good it is worth the wait!We will definitely be back.","
        10/26/2015
    ",4.0 star rating
19,"Love, love, love this place. It's a great place to study and the free wifi is really fast. I've only had the coffee here, but would love to try their food the next time I visit.","
        6/27/2016
    ",5.0 star rating
0,"Came here three time already and this is my review.Drinks all come out well enough.Food always takes too long to be prepared. Every time I go, they always are out of they're famous waffles. I was disappointed with their sandwiches.","
        5/30/2015
    ",2.0 star rating
1,"It was literally love at first sight and bite. The vibe was warm, welcoming, friendly, and the food is delicious. It's a beautiful neighborhood gem with space for small gatherings in back. I will definitely be back!!","
        5/20/2015
    ",5.0 star rating
2,"So, this place is NOT in Hyde Park as the other yelp posting alluded to; however, it does deliver to Hyde Park and I was pleased with my order.  The waffle is a tasty treat, I also got a tomato, spinach, pesto flat bread which was good but too much cheese for me (still great flavor over all), and the Iced Coffee was fine.  The food was packed perfect, you can that they take pride in their work as the food was efficiently prepared and packed for delivery.  I believe the restaurant itself is in the Woodlawn area,  but definitely worth me leaving my comfort zone of Hyde Park to visit the actual shop itself.","
        4/22/2017
    ",4.0 star rating
3,"Clean, spacious, excellent seating, delicious hot chocolate and a breakfast sandwich on a croissant. I'm going to be camping out here very often.","
        1/3/2015
    ",5.0 star rating
4,Today I tried the mango smoothie while attending the Soulful Chicago Book Fair on 61st St. It was delicious and refreshing! I plan to return to try the coffee and waffles.,"
        7/16/2016
    ",4.0 star rating
5,I love the decadent pastries and  the caramel mocha latte is absolutely delicious I am just two blocks away,"
        4/27/2016
    ",5.0 star rating
6,"Sugar WAFFLES, the PERFECT compliment to quality, Chicago roasted Bridgeport coffee.  These Sugar waffles, ( I did have dark chocolate drizzle atop them), but I could tell that alone, these sugar waffles were tasty all by themselves. Think of those yummy funnel cakes at Six Flags. Well, this is like a yummy funnel cake, but classier and tastier!  Airy space, perfect for chatting or studying. Much needed in the area.  Forget Ihop, get your waffles and coffee here!","
        9/6/2014
    ",5.0 star rating
7,"Always looking for a good coffee spot, and this is definitely it! The coffee shops in Hyde Park are over-run with students pulling all day-res (no offense - love y'all, but I need a seat too), so this is a nice change! Close enough to Hyde Park, cozy enough for me to stay a few hours with a good book and a nice cup of coffee. They have a great selection of pastries, bkfst, and lunch items! If nothing else, go in and grab a waffle - bro. It's pretty dang good.","
        3/26/2016
    ",5.0 star rating
8,I'm a huge fan of Greenline Coffee..the only recommendation is the slow service.  The staff has no sense of urgency. When you're dealing with corporate and business people coming in to get in/get out...it shouldn't take 15 minutes after you ordered to get an ice latte and sandwich with no one waiting with you.Overall I love the place and don't want to second guess if I have time to wait...just want to get in and get out :),"
        7/23/2015
    ",4.0 star rating
9,"The best about this place? The staff. Always charming, engaging and polite. I love live the decor. Simple CHICAGO. The windows open to the outdoors, which is great for spring and summers. Mist places miss this touch.I tried to replicate the White Cloud steamer from Currency Exchange Cafe (my go-to cafe). It didn't make the cut. On a second visit I had chocolate w/a pump of pumpkin spice. It's Fall. ;). Yum! Soon I'll return to try the food and will update my review. This is a simple, no frills place with a lot of everything you want - space, WiFi, sandwiches, waffles and COFFEE!","
        11/10/2014
    ",4.0 star rating
10,"Great space, lovely staff, delicious coffee","
        2/18/2016
    ",4.0 star rating
11,"This is a fantastic spot. Cinnamon nut coffee cake is sinfully good, and the chai latte is nice and spicy.  They even have  caramel sauce for your coffee in case you're wanting that extra little sweetness in your coffee to get you going on a monday morning! (Or any day).  The music is a tiny bit loud, but nice jazz/soul/RB. Service is super friendly. And atmosphere is great for relaxing or even for reading (if you can do this with music). Ample street parking.The south side deserves this gem. I will definitely be a regular, even though it is out of my way to work and home!","
        10/7/2015
    ",5.0 star rating
12,"A nice and quiet spot on the south side. Went there and ordered a turkey sandwich. Not a lot of restaurants can make a good authentic one, as easy as it should be. Plus it's a good place to network seeing as though there's a business networking center next door. Good thing I'm not too far this place.","
        1/27/2016
    ",5.0 star rating
13,"Most definitely a fan. It's a great coffee shop with a charming, modern vibe. Great Belgian waffles -- not too sweet and perfectly crispy. I came here with a large group, and it took an hour to get my waffles. It had just opened, and they weren't expecting dozens of UChicago students to come in, so it's understandable.","
        2/28/2015
    ",4.0 star rating
14,"Great food and great service. Even just when you walk in you can smell the deliciousness from the waffles and the coffee. I came in on a hot day and ordered a mango smoothie. Highly worth it. Others in my group ordered iced coffee and the green tea frappe, as well as some treats in the case. Everyone was happy. I will definitely come back.","
        9/4/2015
    ",5.0 star rating
15,"Amazing sugar waffles! Great atmosphere, with free WiFi and solid customer service. Highly recommended.","
        9/16/2015
    ",5.0 star rating
16,"Truly a diamond in the ruff! The absolute best coffee shop I've experienced in a very long time, and to have place so close to home is awesome.  Food was great, I had the Buffalo chicken sandwich, and my daughter had the infamous sugar waffles. Needless to say both were spectacular!  Will be here more often! IM SOLD!","
        10/11/2014
    ",5.0 star rating
17,"Fantastic cafe! Beautiful space, great for doing work and chatting with friends. Coffee was excellent (refills only 50 cents!) and the veggie breakfast wrap was delicious. Staff very friendly and helpful. Wonderful addition to the neighborhood!","
        2/28/2015
    ",5.0 star rating
18,I am stopping at this shop as much as I can.  I want it to thrive!  The service is a bit slow and at times it seems disorganized.  I will continue to visit and hope I'm just hitting it at bad times.,"
        3/24/2015
    ",3.0 star rating
19,"Sunshine Gospel Ministries is near and dear to me and my husband's hearts and the coffee shop they opened is just the cherry on the top! It's absolutely beautiful inside, delicious teas and coffees, and the food looks incredible. The only reason I haven't tried it is I am Celiac (allergic to gluten). This place would be 100% perfect if they had gluten-free bread available so I could enjoy a yummy breakfast or lunch sandwich. The service here is wonderful as well. It's a joy-filled place.","
        1/22/2015
    ",5.0 star rating
0,"One of my fav places to stop at in Woodlawn. Great staff and service. Lots of food/bev options. Have held several community meetings in their community meeting room and they are always accommodating. Clean, safe and friendly! Catering menu reasonably priced as well.","
        4/15/2015
    ",5.0 star rating
1,"I don't drink coffee but I adore this place. Besides the fact that it's in my neighborhood (bonus), they're a great place to have breakfast. I always receive friendly as well as fast service. For all of you non coffee drinkers, such as myself, they have a wide variety of tea. I have yet to order anything for lunch. But I'm sure they won't disappoint in that category either.","
        12/15/2014
    ",5.0 star rating
2,Great place . Friendly staff . Coffee is very good and prices are reasonable . Very coZy atmosphere too.,"
        1/26/2015
    ",5.0 star rating
3,"They get 5 stars for offering me a ceramic mug for tea since I was dining in. Class! Also, this place is very affordable and offers a wide selection of breakfasty food options. It looks like a great place for informal group meetings. Only worry is as a University of Chicago student carrying laptop around, since there have been a rash of robberies in the neighborhood lately I worry about tramping around off-campus. It's right down the street from where I stay in the Cottage Grove/Green Line area, but I do not feel completely safe walking to it. I am saddened by the desperation of the impoverished people in this area that creates this dangerous atmosphere. Anyway, I highly recommend this coffee shop. Maybe just take the bus to it if you have your laptop with you?","
        11/21/2014
    ",5.0 star rating
4,"Greenline is an excellent coffee shop, I highly recommend it!  The prices are unbelievably low, you have to see them to believe them.  Also, the atmosphere is so metropolitan and modern.  And the staff is very friendly, they made me feel at home the moment I walked in.  The coffee is delicious, and the food is very tasty.  Greenline is full of fun personality...they have a giant map of Chicago on the wall, there are board games you can play, and in the background is soothing yet stimulating music (it's true!) to enhance your experience...Greenline does everything right for you!  Real talk:  If we want to keep places like Greenline going, we must visit them and take advantage of everything they have to offer!  Otherwise we're only going to have a full dull chain operations around, and we don't need that.  This is a gem on the south side, please take a friend and/or loved one to Greenline for a very pleasant experience.  Hey, you're a sophisticated, cosmopolitan person...you need to have Greenline as a place where you can say, ""Tell you what, we'll meet at Greenline, have some coffee, and talk that over.""  This is your place, my friend.","
        7/23/2015
    ",5.0 star rating
5,"Excited about my first visit to Greenline Coffee, great local location, nice ambiance, and great menu.  I ordered a spinach and cheese croissant and the clerk rang up the order.  Another employee came over and changed the order on the screen from a filled croissant $1.99 to a ham and cheese croissant $2.99 and  the clerk said nooooo what are you doing?  The other employee stated that the item I ordered was not in the system yet and it's the same as the ham and cheese.....what the what....where they do that at!!!....cancelled order and left.","
        3/16/2016
    ",3.0 star rating
6,"The Greenline Coffee house is the place to go.  This is my second visit and both have been absolutely wonderful.  On the first visit, the cashier, Jackie, went out of her way to help me find a delicious low calorie option to assist with eating plan.  I had a banana strawberry smoothie.  The best smoothie I've had!!!! On this visit, with my new eating plan on hiatus :(.  I opted for the sausage, egg & cheddar cheese croissant.  Yet another good choice.  My next visit will be the waffle, since the other reviewers are raving about them.  The locale was perfect, it was clean, and I was able to sit there for an hour and do some work.  Nice jazz playing in the background.  Come and get your coffee here, or hot chocolate or tea for you all who don't like coffee.  I don't like coffee, so I opted for the hot chocolate, delicious!!!!","
        10/15/2014
    ",5.0 star rating
7,Met up with a friend before work for coffee and to try out the famous sugar waffles. Outstanding. The staff are super friendly and the space is very modern and inviting.  Prices are extremely reasonable.  The story behind the place is very inspiring to all.They have a board room you can reserve for free.  I can see how it would make a great place for students to study etc given how close it is to the U of C.  Plenty of free street parking.  Had a great experience! Highly recommend supporting this neighborhood coffee shop!,"
        10/24/2014
    ",5.0 star rating
8,"Love it! Breakfast veggie sandwich was yummy, and everyone here is so nice. I love having this place in the neighborhood. Thanks, Greenline :)","
        7/14/2015
    ",5.0 star rating
9,"Oh man. The best - this neighborhood needed a place like this. Easy to get to from Hyde Park by bike or the 59 bus, which drops you off at the door. Great place to go if you're a student. Or anyone.","
        10/3/2014
    ",5.0 star rating
10,"This place is absolutely amazing! I love checking out new coffee shops around the city and this is definitely one of my new favorites. The staff were so friendly, the coffee and waffle and sandwich I got were all delicious and it was the perfect setting to sit back and enjoy my book. I can't wait to come back here! You can't leave without trying a pastry!","
        2/23/2015
    ",5.0 star rating
