X,Y,X,Y,wkt_geom,insert_tim,id,license_id,account_nu,site_numbe,legal_name,doing_busi,address,city,state,zip_code,license_co,license_de,license_nu,applicatio,applicat_1,applicat_2,payment_da,conditiona,license_st,expiration,license_ap,date_issue,license__1,license__2,ssa,latitude,longitude,location,geom_3435,time_updat,time_creat,gid,business_a,business_1
-87.61365689,41.76562894,-87.613656890000001,41.765628939999999,Point (-87.61365688499999749 41.76562893700000245),00:48.4,17654-20161016,2484766,28382,1,SABRINA HAWKINS,ANNIE MAE'S CAFE,441 E 71ST ST 1ST,CHICAGO,IL,60619,1470,Tavern,17654,RENEW,,,10/14/16,N,10/16/16,10/15/18,10/14/16,10/18/16,AAI,,,41.765628939999999,-87.613656890000001,,"SRID=3435;POINT(1180583.99080371 1858007.35349626)",06:49.0,06:49.0,880698,Tavern - Consumption of Liquor on Premise,829
-87.58577242,41.76593686,-87.585772419999998,41.765936859999996,Point (-87.58577242299999455 41.76593685899999997),48:28.0,2093904-20170416,2513206,63414,150,STARBUCKS CORPORATION,STARBUCKS COFFEE # 2624,7101 S STONY ISLAND AVE 1 1,CHICAGO,IL,60649,1006,Retail Food Establishment,2093904,RENEW,,,3/31/17,N,4/16/17,4/15/19,3/31/17,4/5/17,AAI,,,41.765936859999996,-87.585772419999998,,"SRID=3435;POINT(1188190.18781739 1858184.44001403)",59:00.0,59:00.0,971870,Retail Sales of Perishable Foods,775
-87.64557778,41.7687117,-87.645577779999996,41.768711699999997,Point (-87.64557778100000007 41.76871169700000053),00:22.2,2294418-20151216,2430994,365807,1,KUSANYA CAFE INC.,KUSANYA CAFE INC.,825 W 69TH ST 1ST,CHICAGO,IL,60621,1006,Retail Food Establishment,2294418,RENEW,,,10/28/15,N,12/16/15,12/15/17,10/28/15,10/29/15,AAI,,,41.768711699999997,-87.645577779999996,,"SRID=3435;POINT(1171866.66159433 1859059.44030414)",08:29.0,08:29.0,844892,Sale of Food Prepared Onsite With Dining Area,781
-87.78171662,41.77755967,-87.781716619999997,41.777559670000002,Point (-87.78171661700000072 41.77755966899999862),00:22.3,2397958-20150526,2397958,398117,1,"KILTHAWKS OF ILLINOIS, LLC",CAFE 63,6411 W 63RD ST 1ST,CHICAGO,IL,60638,1006,Retail Food Establishment,2397958,ISSUE,,,4/29/15,N,5/26/15,6/15/17,5/22/15,5/26/15,AAI,,,41.777559670000002,-87.781716619999997,,"SRID=3435;POINT(1134707.76456043 1862015.99071497)",07:58.0,07:58.0,845769,Sale of Food Prepared Onsite With Dining Area,781
-87.72156855,41.77856476,-87.721568550000001,41.778564760000002,Point (-87.72156854600000031 41.77856475499999789),00:33.4,2422881-20151112,2422881,400686,1,GUILLERMO BANDA,THE SANDWICH COFFEE SHOP,3931 W 63RD ST 1ST,CHICAGO,IL,60629,1006,Retail Food Establishment,2422881,ISSUE,,,11/5/15,N,11/12/15,11/15/17,11/12/15,11/12/15,AAI,,,41.778564760000002,-87.721568550000001,,"SRID=3435;POINT(1151111.08265134 1862493.20880423)",06:03.0,06:03.0,850196,Retail Sales of Perishable Foods,775
-87.71712585,41.77885534,-87.717125850000002,41.778855340000000,Point (-87.71712584700000548 41.77885533799999962),00:03.4,2501799-20170307,2501799,412195,1,LOS PEKES ICE CREAM & COFFEE SHOP INC.,LOS PEKES ICE CREAM & COFFEE SHOP,3742 W 63RD ST 1,CHICAGO,IL,60629,1006,Retail Food Establishment,2501799,ISSUE,,,12/14/16,N,3/7/17,1/15/19,3/3/17,3/7/17,AAI,,,41.778855340000000,-87.717125850000002,,"SRID=3435;POINT(1152322.09161322 1862607.74686622)",57:54.0,57:54.0,956101,Sale of Food Prepared Onsite With Dining Area,781
-87.71712585,41.77885534,-87.717125850000002,41.778855340000000,Point (-87.71712584700000548 41.77885533799999962),00:45.5,2327853-20160816,2475221,388432,2,ALMA LILIA MEMIJE,LOS PEKES ICE CREAM AND COFFEE,3742 W 63RD ST 1ST,CHICAGO,IL,60629,1006,Retail Food Establishment,2327853,RENEW,,,8/10/16,N,8/16/16,8/15/18,8/10/16,8/10/16,AAI,,,41.778855340000000,-87.717125850000002,,"SRID=3435;POINT(1152322.09161322 1862607.74686622)",15:08.0,15:08.0,873681,Sale of Food Prepared Onsite With Dining Area,781
-87.65071065,41.77977367,-87.650710649999994,41.779773669999997,Point (-87.65071065399999384 41.77977367399999764),00:32.3,1803133-20161016,2484658,18696,3,REESE PRICE JR,MR. ALLEN COFFEE SHOP,1022 1/2 W 63RD ST 1,CHICAGO,IL,60621,1006,Retail Food Establishment,1803133,RENEW,,,10/31/16,N,10/16/16,10/15/18,10/31/16,11/1/16,AAI,,,41.779773669999997,-87.650710649999994,,"SRID=3435;POINT(1170434.43388977 1863079.18582376)",57:24.0,57:24.0,881729,Retail Sales of Perishable Foods,775
-87.59634922,41.78046101,-87.596349219999993,41.780461010000003,Point (-87.59634921800000029 41.78046100499999937),00:29.3,1979691-20150716,2402069,344743,1,ROBUST COFFEE LOUNGE LLC,ROBUST COFFEE LOUNGE LLC,6300 S WOODLAWN AVE 1ST,CHICAGO,IL,60637,1006,Retail Food Establishment,1979691,RENEW,,,7/13/15,N,7/16/15,7/15/17,7/13/15,7/13/15,AAI,,,41.780461010000003,-87.596349219999993,,"SRID=3435;POINT(1185259.38709662 1863452.03401429)",08:14.0,08:14.0,510167,Retail Sales of Perishable Foods,775
-87.6131889,41.7838193,-87.613188899999997,41.783819299999998,Point (-87.61318889599999693 41.78381930300000136),30:02.4,2333150-20160816,2475267,390442,1,"Greenline Coffee, LLC",Greenline Coffee,501 E 61ST ST FIRST FLOOR,CHICAGO,IL,60637,1006,Retail Food Establishment,2333150,RENEW,,,8/15/16,N,8/16/16,8/15/18,8/15/16,1/20/17,AAI,,,41.783819299999998,-87.613188899999997,,"SRID=3435;POINT(1180656.15727407 1864636.85990042)",00:42.0,00:42.0,906901,Sale of Food Prepared Onsite With Dining Area | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Fresh Fruits and Vegetables,781 | 767 | 766
-87.60374469,41.78579096,-87.603744689999999,41.785790960000000,Point (-87.60374468599999886 41.78579095799999976),00:41.8,2470398-20161014,2470398,16384,13,BON APPETIT MANAGEMENT CO.,CAFE LOGAN,915 E 60TH ST 1,CHICAGO,IL,60637,1481,Caterer's Liquor License,2470398,ISSUE,,,8/4/16,N,10/14/16,10/15/18,10/14/16,10/14/16,AAI,,,41.785790960000000,-87.603744689999999,,"SRID=3435;POINT(1183225.81132729 1865377.03248003)",58:25.0,58:25.0,880421,Catering of Liquor To Events,630
-87.59737852,41.78585734,-87.597378520000007,41.785857340000000,Point (-87.597378520999996 41.78585733599999941),00:27.3,33354-20150716,2400214,63878,19,THE UNIVERSITY OF CHICAGO,1155 CAFE,1155 E 60TH ST 1ST,CHICAGO,IL,60637,1006,Retail Food Establishment,33354,RENEW,,,7/30/15,N,7/16/15,7/15/17,7/13/15,7/31/15,AAI,,,41.785857340000000,-87.597378520000007,,"SRID=3435;POINT(1184961.81654878 1865416.01719457)",11:48.0,11:48.0,795875,Retail Sales of Perishable Foods,775
-87.59039689,41.78599541,-87.590396889999994,41.785995409999998,Point (-87.59039689300000475 41.78599540900000164),00:27.3,1353242-20150716,2400230,63878,38,THE UNIVERSITY OF CHICAGO,MIDWAY GARDEN CAFE,1427 E 60TH ST 1ST,CHICAGO,IL,60637,1006,Retail Food Establishment,1353242,RENEW,,,7/30/15,N,7/16/15,7/15/17,7/13/15,7/31/15,AAI,,,41.785995409999998,-87.590396889999994,,"SRID=3435;POINT(1186865.4445604 1865482.70547065)",06:05.0,06:05.0,795872,Retail Sales of Perishable Foods,775
-87.74127656,41.78783563,-87.741276560000003,41.787835629999996,Point (-87.74127656000000286 41.78783563100000009),00:31.6,1145229-20160116,2435500,215895,1,HUDSON-JRE MIDWAY JV,HUDSON'S BOOK CORNER/EURO CAFE,5757 S CICERO AVE  TC-01,CHICAGO,IL,60638,1006,Retail Food Establishment,1145229,RENEW,,,12/23/15,N,1/16/16,1/15/18,12/23/15,12/24/15,AAI,,,41.787835629999996,-87.741276560000003,,"SRID=3435;POINT(1145712.36672553 1865833.81870362)",15:00.0,15:00.0,23136,Retail Sales of Perishable Foods,775
-87.59084354,41.78796989,-87.590843539999995,41.787969889999999,Point (-87.59084353900000508 41.78796989100000303),00:28.1,2492429-20161024,2492429,63878,28,THE UNIVERSITY OF CHICAGO,UNIVERSITY OF CHICAGO - TIFFIN CAFE,1414 E 59TH ST 1ST,CHICAGO,IL,60637,1006,Retail Food Establishment,2492429,ISSUE,,,10/14/16,N,10/24/16,7/15/17,10/21/16,10/24/16,AAI,,,41.787969889999999,-87.590843539999995,,"SRID=3435;POINT(1186737.42002071 1866201.14212293)",17:58.0,17:58.0,880986,Sale of Food Prepared Onsite With Dining Area,781
-87.60476984,41.78831126,-87.604769840000003,41.788311260000000,Point (-87.60476983600000267 41.78831125800000024),00:36.2,1980004-20160916,2481054,337253,15,ABP CORPORATION,AU BON PAIN,5841 S MARYLAND AVE 1 1,CHICAGO,IL,60637,1006,Retail Food Establishment,1980004,RENEW,,,8/15/16,N,9/16/16,9/15/18,8/15/16,8/16/16,AAI,,,41.788311260000000,-87.604769840000003,,"SRID=3435;POINT(1182938.44512626 1866293.04295909)",17:30.0,17:30.0,874506,Retail Sales of Perishable Foods,775
-87.5994985,41.78869023,-87.599498499999996,41.788690230000000,Point (-87.59949849500000596 41.78869022500000341),00:27.3,33353-20150716,2400223,63878,30,THE UNIVERSITY OF CHICAGO,GARGOYLE CAFE,5835 S GREENWOOD AVE 1ST,CHICAGO,IL,60637,1006,Retail Food Establishment,33353,RENEW,,,7/30/15,N,7/16/15,7/15/17,7/13/15,7/31/15,AAI,,,41.788690230000000,-87.599498499999996,,"SRID=3435;POINT(1184374.83647484 1866443.36226948)",04:10.0,04:10.0,795849,Retail Sales of Perishable Foods,775
-87.74164564,41.78932932,-87.741645640000002,41.789329320000000,Point (-87.74164564400000188 41.78932932299999692),00:39.8,1198021-20160116,2435519,216264,2,"MAC ONE, INC.",MANNY'S CAFE MIDWAY,5700 S CICERO AVE CA-6,CHICAGO,IL,60638,1475,Consumption on Premises - Incidental Activity,1198021,RENEW,,,1/13/16,N,1/16/16,1/15/18,1/13/16,1/13/16,AAI,,,41.789329320000000,-87.741645640000002,,"SRID=3435;POINT(1145607.96605683 1866377.41606735)",08:44.0,08:44.0,12817,Consumption of Liquor on Premises,638
-87.74164564,41.78932932,-87.741645640000002,41.789329320000000,Point (-87.74164564400000188 41.78932932299999692),00:39.8,1358611-20160116,2435525,216264,7,"MAC ONE, INC.",OAK STREET BEACH CAFE,5700 S CICERO AVE CB-12,CHICAGO,IL,60638,1475,Consumption on Premises - Incidental Activity,1358611,RENEW,,,1/13/16,N,1/16/16,1/15/18,1/13/16,1/13/16,AAI,,,41.789329320000000,-87.741645640000002,,"SRID=3435;POINT(1145607.96605683 1866377.41606735)",13:29.0,13:29.0,18301,Consumption of Liquor on Premises,638
-87.5962627,41.78936441,-87.596262699999997,41.789364409999997,Point (-87.59626269499999296 41.7893644110000011),00:27.3,1519437-20150716,2400232,63878,41,THE UNIVERSITY OF CHICAGO,GSB CAFE,5807 S WOODLAWN AVE,CHICAGO,IL,60637,1006,Retail Food Establishment,1519437,RENEW,,,7/30/15,N,7/16/15,7/15/17,7/13/15,7/31/15,AAI,,,41.789364409999997,-87.596262699999997,,"SRID=3435;POINT(1185255.17412656 1866696.58011995)",15:44.0,15:44.0,795857,Retail Sales of Perishable Foods,775
-87.60005953,41.78942347,-87.600059529999996,41.789423470000003,Point (-87.60005953200000306 41.78942346899999905),00:27.3,33337-20150716,2400205,63878,8,THE UNIVERSITY OF CHICAGO,DIVINITY SCHOOL COFFEE SHOP,1025 E 58TH ST 1ST,CHICAGO,IL,60637,1006,Retail Food Establishment,33337,RENEW,,,7/30/15,N,7/16/15,7/15/17,7/13/15,7/31/15,AAI,,,41.789423470000003,-87.600059529999996,,"SRID=3435;POINT(1184219.55571056 1866709.24639085)",05:42.0,05:42.0,795871,Retail Sales of Perishable Foods,775
-87.60508472,41.78961185,-87.605084719999994,41.789611850000000,Point (-87.60508472200000085 41.78961184500000314),02:08.8,1681884-20150716,2401552,302174,1,"ARGO TEA UCH, LLC","ARGO TEA UCH, LLC",5758 S MARYLAND AVE,CHICAGO,IL,60637,1006,Retail Food Establishment,1681884,RENEW,,,6/16/15,N,7/16/15,7/15/17,6/16/15,6/17/15,AAI,,,41.789611850000000,-87.605084719999994,,"SRID=3435;POINT(1182848.5568388 1866766.24117169)",08:59.0,08:59.0,39388,Retail Sales of Perishable Foods,775
-87.60479458,41.7906921,-87.604794580000004,41.790692100000001,Point (-87.60479457799999636 41.79069209699999732),00:36.2,1980002-20160916,2481053,337253,14,ABP CORPORATION,AU BON PAIN,5721 S MARYLAND AVE 1 1,CHICAGO,IL,60637,1006,Retail Food Establishment,1980002,RENEW,,,8/15/16,N,9/16/16,9/15/18,8/15/16,8/16/16,AAI,,,41.790692100000001,-87.604794580000004,,"SRID=3435;POINT(1182924.34594544 1867160.54868341)",10:13.0,10:13.0,874514,Retail Sales of Perishable Foods,775
-87.60508491,41.79126062,-87.605084910000002,41.791260620000003,Point (-87.60508491199999526 41.79126061800000258),00:36.4,2374306-20161016,2485786,304120,13,"ARAMARK HEALTHCARE SUPPORT SERVICES, LLC",Starbucks (Franchisee),5700 S MARYLAND AVE 1 CCD,CHICAGO,IL,60637,1006,Retail Food Establishment,2374306,RENEW,,,9/13/16,N,10/16/16,10/15/18,9/13/16,9/14/16,AAI,,,41.791260620000003,-87.605084910000002,,"SRID=3435;POINT(1182843.4157886 1867367.04343626)",59:02.0,59:02.0,877263,Preparation of Food and Dining on Premise With Seating,735
-87.60271129,41.79126716,-87.602711290000002,41.791267159999997,Point (-87.60271128899999837 41.79126716399999708),00:27.3,1743117-20150716,2400246,63878,64,THE UNIVERSITY OF CHICAGO,CIS CAFE,929 E 57TH ST,CHICAGO,IL,60637,1006,Retail Food Establishment,1743117,RENEW,,,7/30/15,N,7/16/15,7/15/17,7/13/15,7/31/15,AAI,,,41.791267159999997,-87.602711290000002,,"SRID=3435;POINT(1183490.68672794 1867374.92081068)",08:09.0,08:09.0,795893,Retail Sales of Perishable Foods,775
-87.60285475,41.79148499,-87.602854750000006,41.791484990000001,Point (-87.60285474699999497 41.79148498600000039),00:27.3,33351-20150716,2400212,63878,17,THE UNIVERSITY OF CHICAGO,BIO CAFE,924 E 57TH ST 1ST,CHICAGO,IL,60637,1006,Retail Food Establishment,33351,RENEW,,,7/30/15,N,7/16/15,7/15/17,7/13/15,7/31/15,AAI,,,41.791484990000001,-87.602854750000006,,"SRID=3435;POINT(1183450.89106059 1867453.9613818)",14:20.0,14:20.0,795899,Retail Sales of Perishable Foods,775
-87.59950057,41.79152143,-87.599500570000004,41.791521430000003,Point (-87.59950056600000323 41.79152143000000308),00:27.3,2124410-20150716,2400251,63878,77,THE UNIVERSITY OF CHICAGO,EX LIBRIS SCIENCE DIGEST COFFEE,1100 E 57TH ST 1ST,CHICAGO,IL,60637,1006,Retail Food Establishment,2124410,RENEW,,,7/30/15,N,7/16/15,7/15/17,7/13/15,7/31/15,AAI,,,41.791521430000003,-87.599500570000004,,"SRID=3435;POINT(1184365.46569768 1867475.03116144)",11:04.0,11:04.0,795873,Retail Sales of Perishable Foods,775
-87.60146169,41.79196087,-87.601461689999994,41.791960869999997,Point (-87.60146169300000452 41.79196087399999726),00:33.4,2428263-20151113,2428263,63878,97,THE UNIVERSITY OF CHICAGO,Eckhardt Cafe,5640 S ELLIS AVE 1ST,CHICAGO,IL,60637,1006,Retail Food Establishment,2428263,ISSUE,,,9/25/15,N,11/13/15,7/15/17,11/12/15,11/13/15,AAI,,,41.791960869999997,-87.601461689999994,,"SRID=3435;POINT(1183829.30179334 1867630.60300433)",15:01.0,15:01.0,850090,Preparation of Food and Dining on Premise With Seating,735
-87.61897924,41.79431656,-87.618979240000002,41.794316559999999,Point (-87.61897923899999796 41.79431656199999878),00:24.7,2348996-20160527,2348996,384449,1,"GRAND CROSSING MANAGEMENT, LLC",CURRENCY EXCHANGE CAFE / BING,305-307 E GARFIELD BLVD 1ST & BSMT,CHICAGO,IL,60637,1475,Consumption on Premises - Incidental Activity,2348996,ISSUE,,,4/1/16,N,5/27/16,6/15/18,5/27/16,5/27/16,AAI,,,41.794316559999999,-87.618979240000002,,"SRID=3435;POINT(1179045.15573232 1868448.82068608)",09:32.0,09:32.0,866645,Consumption of Liquor on Premises,638
-87.76914449,41.79456475,-87.769144490000002,41.794564749999999,Point (-87.76914449100000581 41.79456474999999926),00:28.3,33012-20160116,2434144,5283,2,"CZERJO, INC.",FLAMINGO CAFE,6069-6073 S ARCHER AVE  1,CHICAGO,IL,60638,1475,Consumption on Premises - Incidental Activity,33012,RENEW,,,12/22/15,N,1/16/16,1/15/18,12/22/15,12/23/15,AAI,,,41.794564749999999,-87.769144490000002,,"SRID=3435;POINT(1138096.26262032 1868234.75662711)",11:07.0,11:07.0,856980,Consumption of Liquor on Premises,638
-87.5982795,41.79500773,-87.598279500000004,41.795007730000002,Point (-87.59827950099999327 41.79500772800000163),00:35.2,2488257-20160913,2488257,409527,1,DOLLOP HP LLC,DOLLOP COFFEE CO,5500 S UNIVERSITY AVE 1 A,CHICAGO,IL,60637,1006,Retail Food Establishment,2488257,ISSUE,,,8/30/16,N,9/13/16,9/15/18,9/12/16,9/13/16,AAI,,,41.795007730000002,-87.598279500000004,,"SRID=3435;POINT(1184687.58871815 1868748.26215277)",56:35.0,56:35.0,877131,Sale of Food Prepared Onsite With Dining Area,781
-87.59660148,41.79517545,-87.596601480000004,41.795175450000002,Point (-87.596601476999993 41.79517545000000212),48:28.0,2093906-20170416,2513207,63414,151,STARBUCKS CORPORATION,STARBUCKS COFFEE #2827,1174 E 55TH ST  1,CHICAGO,IL,60615,1006,Retail Food Establishment,2093906,RENEW,,,3/31/17,N,4/16/17,4/15/19,3/31/17,4/5/17,AAI,,,41.795175450000002,-87.596601480000004,,"SRID=3435;POINT(1185144.63848117 1868813.29609704)",59:00.0,59:00.0,971932,Retail Sales of Perishable Foods,775
